,Name,Code
1,삼성전자,005930
2,SK하이닉스,000660
3,NAVER,035420
4,삼성전자우,005935
5,LG화학,051910
6,삼성바이오로직스,207940
7,카카오,035720
8,현대차,005380
9,삼성SDI,006400
10,셀트리온,068270
11,기아,000270
12,POSCO,005490
13,현대모비스,012330
14,삼성물산,028260
15,LG전자,066570
16,SK이노베이션,096770
17,KB금융,105560
18,LG생활건강,051900
19,SK텔레콤,017670
20,신한지주,055550
21,엔씨소프트,036570
22,SK,034730
23,한국전력,015760
24,삼성생명,032830
25,아모레퍼시픽,090430
26,HMM,011200
27,LG,003550
28,삼성에스디에스,018260
29,하나금융지주,086790
30,삼성전기,009150
31,넷마블,251270
32,KT&G,033780
33,SK바이오사이언스,302440
34,S-Oil,010950
35,포스코케미칼,003670
36,대한항공,003490
37,SK아이이테크놀로지,361610
38,한국조선해양,009540
39,삼성화재,000810
40,롯데케미칼,011170
41,하이브,352820
42,한온시스템,018880
43,KT,030200
44,SK바이오팜,326030
45,LG디스플레이,034220
46,한화솔루션,009830
47,고려아연,010130
48,두산중공업,034020
49,우리금융지주,316140
50,기업은행,024110
51,CJ제일제당,097950
52,현대글로비스,086280
53,현대제철,004020
54,금호석유,011780
55,LG유플러스,032640
56,아모레G,002790
57,미래에셋증권,006800
58,현대건설,000720
59,코웨이,021240
60,한국타이어앤테크놀로지,161390
61,강원랜드,035250
62,현대중공업지주,267250
63,한국금융지주,071050
64,KODEX 200,069500
65,두산밥캣,241560
66,SKC,011790
67,LG이노텍,011070
68,오리온,271560
69,한미사이언스,008930
70,맥쿼리인프라,088980
71,유한양행,000100
72,GS,078930
73,이마트,139480
74,한진칼,180640
75,롯데지주,004990
76,한미약품,128940
77,삼성증권,016360
78,현대차2우B,005387
79,삼성중공업,010140
80,녹십자,006280
81,삼성카드,029780
82,호텔신라,008770
83,쌍용C&E,003410
84,CJ대한통운,000120
85,대우조선해양,042660
86,GS건설,006360
87,NH투자증권,005940
88,삼성엔지니어링,028050
89,DB손해보험,005830
90,F&F,383220
91,팬오션,028670
92,현대미포조선,010620
93,대우건설,047040
94,신풍제약,019170
95,롯데쇼핑,023530
96,휠라홀딩스,081660
97,한국항공우주,047810
98,CJ,001040
99,한화생명,088350
100,씨에스윈드,112610
101,키움증권,039490
102,BGF리테일,282330
103,신세계,004170
104,만도,204320
105,메리츠증권,008560
106,에스원,012750
107,현대오토에버,307950
